year,region,uf,station_name,wmo_code,latitude,longitude,altitude,foundation_date,name (wmo)
2016,se,mg,itaobim,a550,-16.57555554,-41.48527777,266.0,2007-09-05,itaobim (a550)
2016,se,mg,rio pardo de minas,a551,-15.72277777,-42.43527777,950.0,2007-11-17,rio pardo de minas (a551)
2016,se,mg,salinas,a552,-16.16027777,-42.31027777,495.0,2007-09-14,salinas (a552)
2016,se,mg,joao pinheiro,a553,-17.78472221,-46.11916666,877.0,2007-07-07,joao pinheiro (a553)
2016,se,mg,caratinga,a554,-19.73583333,-42.15361111,615.0,2007-05-24,caratinga (a554)
2016,se,mg,ibirite (rola moca),a555,-20.0311111,-44.01111111,1208.0,2008-06-06,ibirite (rola moca) (a555)
2016,se,mg,manhuacu,a556,-20.26361111,-42.18277777,836.0,2010-09-25,manhuacu (a556)
2016,se,mg,coronel pacheco,a557,-21.54694444,-43.26111111,431.0,2012-10-17,coronel pacheco (a557)
2016,se,mg,januaria,a559,-15.44805555,-44.36638888,480.0,2016-06-23,januaria (a559)
2023,se,mg,pompeu,a560,-19.23249999,-44.96416666,705.0,2015-08-21,pompeu (a560)
2016,se,mg,sao sebastiao do paraiso,a561,-20.91,-47.11416666,845.0,2015-08-17,sao sebastiao do paraiso (a561)
2017,se,mg,patos de minas,a562,-18.52055554,-46.44055555,950.0,2017-05-12,patos de minas (a562)
2016,se,mg,janauba,a563,-15.80277777,-43.29694444,532.0,2016-11-19,janauba (a563)
2017,se,mg,divinopolis,a564,-20.17305554,-44.87472221,796.0,2017-10-26,divinopolis (a564)
2016,se,mg,bambui,a565,-20.0311111,-46.00861111,697.0,2016-11-23,bambui (a565)
2017,se,mg,aracuai,a566,-16.84888888,-45.03527777,308.0,2017-05-19,aracuai (a566)
2017,se,mg,machado,a567,-21.68083332,-45.94444444,969.0,2017-07-21,machado (a567)
2017,se,mg,uberaba,a568,-19.71,-47.96166666,778.0,2017-05-19,uberaba (a568)
2016,se,mg,sete lagoas,a569,-19.455,-44.17333332,719.0,2016-06-10,sete lagoas (a569)
2017,se,mg,oliveira,a570,-20.71472222,-44.86444444,1025.0,2017-10-19,oliveira (a570)
2023,se,mg,paracatu,a571,-17.24444444,-46.88166666,705.0,2018-03-16,paracatu (a571)
2016,se,rj,ecologia agricola,a601,-22.8,-43.68333333,33.0,2000-05-07,ecologia agricola (a601)
2016,se,rj,marambaia,a602,-23.05,-43.6,9.7,2002-11-08,marambaia (a602)
2016,se,rj,xerem,a603,-22.58972221,-43.28222221,33.0,2002-10-21,xerem (a603)
2016,se,rj,cambuci,a604,-21.56666666,-41.95,35.0,2002-11-20,cambuci (a604)
2016,se,rj,arraial do cabo,a606,-22.98333333,-42.01666666,4.0,2006-09-24,arraial do cabo (a606)
2016,se,rj,campos,a607,-21.71666666,-41.35,25.0,2006-09-25,campos (a607)
2016,se,rj,macae,a608,-22.38333333,-41.81666667,32.0,2006-09-22,macae (a608)
2016,se,rj,resende,a609,-22.45,-44.45,439.89,2006-09-29,resende (a609)
2016,se,rj,pico do couto,a610,-22.48166666,-43.29138888,1777.0,2006-10-22,pico do couto (a610)
2016,se,rj,valenca,a611,-22.35,-43.7,367.0,2006-09-27,valenca (a611)
2016,se,es,vitoria,a612,-20.26666666,-40.3,9.0,2006-10-31,vitoria (a612)
2016,se,es,santa teresa,a613,-19.98833333,-40.57944443,988.0,2007-08-09,santa teresa (a613)
2016,se,es,linhares,a614,-19.35694444,-40.0686111,40.0,2006-10-27,linhares (a614)
2016,se,es,alfredo chaves,a615,-20.63638888,-40.74138888,35.0,2006-11-03,alfredo chaves (a615)
2016,se,es,sao mateus,a616,-18.71388888,-39.84833333,39.0,2006-10-25,sao mateus (a616)
2016,se,es,alegre,a617,-20.75055555,-41.48888888,138.0,2006-10-25,alegre (a617)
2016,se,rj,teresopolis,a618,-22.44888888,-42.98722221,980.0,2006-11-01,teresopolis (a618)
2016,se,rj,parati,a619,-23.22333332,-44.72666666,5.0,2006-11-19,parati (a619)
2016,se,rj,sao tome,a620,-22.04166666,-41.05194444,8.0,2008-06-13,sao tome (a620)
2016,se,rj,vila militar,a621,-22.86083333,-43.41111111,45.0,2007-04-13,vila militar (a621)
2016,se,es,pres. kennedy,a622,-21.10111111,-41.03888888,80.0,2008-06-18,pres. kennedy (a622)
2016,se,es,nova venecia,a623,-18.69527777,-40.4075,154.0,2008-06-22,nova venecia (a623)
2016,se,rj,nova friburgo,a624,-22.33305554,-42.67722221,1046.0,2010-09-17,nova friburgo (a624)
